keep,Explanation,id,message_id,timestamp,text,social_media_url,mc_predicted_category,oc_predicted_category,pc_predicted_category,predicted_category,mc_confidence,oc_confidence,pc_confidence,confidence,text_hash,author,source,social_media_tag,social_media_user,social_media_secondary_url,mc_probabilities,oc_probabilities,pc_probabilities,probabilities,filter_reason,filter_threshold,filtered_at,created_at,min_confidence,low_confidence_models
0,,7536,1470976640459735161,2026-02-11T02:56:00.510000+00:00,Put your WBTC to work on Starknet. Starknet Earn now supports EVM wallets. Deposit WBTC and tap in.,https://x.com/WrappedBTC/status/2021417838658060517,filter_out,filter_out,high_value,high_value,0.9470099807,0.9995788932,0.4384991527,0.4384991527,93cbbca817ee6bd3fa397528f631c1535d5c6c9af3721ac098e9988c09627224,WBTC,discord,Quoted,@Starknet,https://x.com/Starknet/status/2021222147624980774,"{""filter_out"": 0.9470099806785583, ""high_value"": 3.587286846595816e-05, ""yield_farming"": 0.052954159677028656}","{""filter_out"": 0.9995788931846619, ""high_value"": 6.341701208611994e-08, ""yield_farming"": 0.00042098650010302663}","{""filter_out"": 0.31835925579071045, ""high_value"": 0.4384991526603699, ""yield_farming"": 0.24314168095588684}","{""filter_out"": 0.31835925579071045, ""high_value"": 0.4384991526603699, ""yield_farming"": 0.24314168095588684}",category_or_confidence,0.6,2026-02-10 18:56:13,2026-02-11 2:56:13,0.4384991527,pc
0,,7740,1471068321507184790,2026-02-11T09:00:18.975000+00:00,You can now purchase $GOLD directly with credit debit cards on MEXC 0 Fees $XAUT $PAXG supported EUR GBP USD supported Start here Posted,https://x.com/MEXC_Official/status/2021509523081687469,filter_out,filter_out,filter_out,filter_out,0.9991130233,0.9994832277,0.5016514659,0.5016514659,cd34d4640145e5ea24c882ca390acebedc029c25e4ca135b95ce5f716837e372,MEXC,discord,Posted,,,"{""filter_out"": 0.9991130232810974, ""high_value"": 8.286792581202462e-05, ""yield_farming"": 0.0008040928514674306}","{""filter_out"": 0.9994832277297974, ""high_value"": 0.0005115665262565017, ""yield_farming"": 5.123420578456717e-06}","{""filter_out"": 0.5016514658927917, ""high_value"": 0.4568858742713928, ""yield_farming"": 0.04146261140704155}","{""filter_out"": 0.5016514658927917, ""high_value"": 0.4568858742713928, ""yield_farming"": 0.04146261140704155}",category_or_confidence,0.6,2026-02-11 1:00:36,2026-02-11 9:00:36,0.5016514659,pc
0,,1584,,2026-01-23T16:20:18.663000+00:00,"StableFlow has released a one click deposit app for HyperliquidX, enabling users to top up their balance from any chain. Experience frictionless stablecoin movement Powered by near intents",https://x.com/NEARProtocol/status/2014734859000852931,filter_out,filter_out,filter_out,filter_out,0.9995075464,0.9999535084,0.5017783642,0.5017783642,b1f248255646f83f4d775e66f11915a867ded9d1a5a8ecba36a2543ccf43ef42,NEAR Protocol,discord,Quoted,@0xStableFlow,https://x.com/0xStableFlow/status/2014711870545117372,"{""filter_out"": 0.9995075464248657, ""high_value"": 0.00013547240814659745, ""yield_farming"": 0.0003569222753867507}","{""filter_out"": 0.9999535083770752, ""high_value"": 2.931103517767042e-05, ""yield_farming"": 1.7231068341061473e-05}","{""filter_out"": 0.5017783641815186, ""high_value"": 0.4978735148906708, ""yield_farming"": 0.00034809528733603656}","{""filter_out"": 0.5017783641815186, ""high_value"": 0.4978735148906708, ""yield_farming"": 0.00034809528733603656}",category_or_confidence,,2026-02-10 17:39:07,2026-02-11 1:39:24,0.5017783642,pc
,"Asset matching for simply depositing is a great way to increase a user's assets by doing a simple action, so this is a good yield farming initiative. Kraken is a trusted exchange, and depositing an asset is an easy task to complete and has little to no price downside. It's a time sensitive opportunity, and you can clearly earn (3% of the deposit) by participating.",8068,1471167943285932198,2026-02-11T15:36:10.658000+00:00,I ll move my funds to Kraken when $PEP is listed. Ok Bet. Move your $PEP over to Kraken and they ll match your 3% of your deposits. Terms apply. Hop in Posted,https://x.com/krakenfx/status/2021609193229193464,filter_out,filter_out,filter_out,filter_out,0.9992473125,0.9237974882,0.5030426383,0.5030426383,1073b1835f12e3bc17172ed34a60b35bc141f4574371195f88a0615e84dda159,Kraken,discord,Posted,,,"{""filter_out"": 0.9992473125457764, ""high_value"": 3.088782250415534e-05, ""yield_farming"": 0.0007217921665869653}","{""filter_out"": 0.9237974882125854, ""high_value"": 0.00010178531374549493, ""yield_farming"": 0.07610072195529938}","{""filter_out"": 0.5030426383018494, ""high_value"": 0.00033727538539096713, ""yield_farming"": 0.4966201186180115}","{""filter_out"": 0.5030426383018494, ""high_value"": 0.00033727538539096713, ""yield_farming"": 0.4966201186180115}",category_or_confidence,0.6,2026-02-11 7:36:25,2026-02-11 15:36:25,0.5030426383,pc
0,,9331,1471634225156456479,2026-02-12T22:29:00.919000+00:00,Fluidkey is built on Ethereum. fluidkey is a privacy app that lets users receive and manage funds onchain without publicly linking them to their identity. It helps people stay private by default while remaining fully native to Ethereum. Posted,https://x.com/ethereum/status/2022075469353590929,filter_out,filter_out,filter_out,filter_out,0.9825696945,0.9988583326,0.506788373,0.506788373,162d47357ecf7c308f9ad2426a9ce7a5bd7ffd2d0e5ff70750575be112bb6249,Ethereum,discord,Posted,,,"{""filter_out"": 0.982569694519043, ""high_value"": 0.017352955415844917, ""yield_farming"": 7.736254337942228e-05}","{""filter_out"": 0.9988583326339722, ""high_value"": 0.0011342037469148636, ""yield_farming"": 7.453673788404558e-06}","{""filter_out"": 0.5067883729934692, ""high_value"": 0.49229034781455994, ""yield_farming"": 0.0009213058510795236}","{""filter_out"": 0.5067883729934692, ""high_value"": 0.49229034781455994, ""yield_farming"": 0.0009213058510795236}",category_or_confidence,0.6,2026-02-12 14:29:12,2026-02-12 22:29:12,0.506788373,pc
0,,1135,,2026-01-23T04:09:03.954000+00:00,LayerZero is live on Starknet. Reposted LayerZero Core,https://x.com/Starknet/status/2014550895455769061,filter_out,filter_out,filter_out,filter_out,0.9679878354,0.8962510824,0.507163465,0.507163465,d8652b6ee5e34e31ba27068dc71831b225171bb5362111754d0ca1e5fbff7a58,Starknet (BTCFi arc) 🥷,discord,Reposted,@LayerZero_Core,https://x.com/LayerZero_Core/status/2014024224026051029,"{""filter_out"": 0.9679878354072571, ""high_value"": 0.03188493102788925, ""yield_farming"": 0.00012716365745291114}","{""filter_out"": 0.8962510824203491, ""high_value"": 0.10374859720468521, ""yield_farming"": 3.35914336346832e-07}","{""filter_out"": 0.5071634650230408, ""high_value"": 0.4915596842765808, ""yield_farming"": 0.0012769295135512948}","{""filter_out"": 0.5071634650230408, ""high_value"": 0.4915596842765808, ""yield_farming"": 0.0012769295135512948}",category_or_confidence,,2026-02-10 17:39:07,2026-02-11 1:39:24,0.507163465,pc
0,,12228,1473375313273688209,2026-02-17T17:47:28.674000+00:00,Try the Porto extension on the EtherFi website,https://x.com/ether_fi/status/2023816516215730577,filter_out,filter_out,high_value,high_value,0.9997954965,0.9999591112,0.507224977,0.507224977,0134f1e47e5cf5a2dcf063f3c37bb31255d5af2b3d347ded5548df351811dbb6,ether.fi,discord,Quoted,@Anchorage,https://x.com/Anchorage/status/2023808851867562502,"{""filter_out"": 0.9997954964637756, ""high_value"": 0.0001870607229648158, ""yield_farming"": 1.7465174096287228e-05}","{""filter_out"": 0.9999591112136841, ""high_value"": 2.6173353035119362e-05, ""yield_farming"": 1.4706682122778147e-05}","{""filter_out"": 0.4881724417209625, ""high_value"": 0.507224977016449, ""yield_farming"": 0.004602695815265179}","{""filter_out"": 0.4881724417209625, ""high_value"": 0.507224977016449, ""yield_farming"": 0.004602695815265179}",category_or_confidence,0.6,2026-02-17 9:47:41,2026-02-17 17:47:41,0.507224977,pc
0,,9007,1471536438783905792,2026-02-12T16:00:26.831000+00:00,"Overnight markets, priced in real time. 46 U.S. equity feeds remain live on Pyth after the closing bell sounds. NVDA USD TSLA USD NFLX USD HOOD USD GOOGL USD MSTR USD MSFT USD BA USD MU USD LLY USD ITA USD XBI USD AIQ USD SPY USD AAL USD LMT USD NLR USD JPM USD AMD USD RGTI USD QQQ USD TSM USD SMH USD IREN USD RIVN USD INTC USD XOM USD PLTR USD SHLD USD COIN USD PURR USD OPEN USD QBTS USD META USD ORCL USD AAPL USD AVGO USD BABA USD COST USD ASML USD BOTZ USD CRCL USD SNDK USD BMNR USD AMZN USD CRWV USD MAGS USD Posted",https://x.com/PythNetwork/status/2021977686852432001,filter_out,filter_out,filter_out,filter_out,0.9959570765,0.9999080896,0.5099026561,0.5099026561,debfb376365ed61c600ff56bc56de5aa9aa2ee161155304448f3124e0d11a645,Pyth Network 🔮,discord,Posted,,,"{""filter_out"": 0.99595707654953, ""high_value"": 0.0039903223514556885, ""yield_farming"": 5.259407407720573e-05}","{""filter_out"": 0.9999080896377563, ""high_value"": 1.8780208847601898e-05, ""yield_farming"": 7.310886576306075e-05}","{""filter_out"": 0.5099026560783386, ""high_value"": 0.277945876121521, ""yield_farming"": 0.2121514528989792}","{""filter_out"": 0.5099026560783386, ""high_value"": 0.277945876121521, ""yield_farming"": 0.2121514528989792}",category_or_confidence,0.6,2026-02-12 8:00:36,2026-02-12 16:00:36,0.5099026561,pc
C,"Excellent opportunity to increase a users's holdings with a simple action. Deposit match for users who deposit their assets is a great yield farming opportunity. It's a limited time opportunity, with a specific bonus attached to the action that is easily attainable and not restricted to brand new users only.",4951,,2026-01-28T19:34:53.875000+00:00,"US users, want a 5% boost on your cash and crypto Deposit $1K on OKX & we'll add a match. No complex terms, smooth payouts, only on The New Money App. Posted",https://x.com/okx/status/2016595789561372840,filter_out,filter_out,filter_out,filter_out,0.5926629901,0.8103796244,0.5156196952,0.5156196952,2a7eeefe3c7418f9a36a8e73aff08d4b08c45a7c40b499250b18b546a71bc366,OKX,discord,Posted,,,"{""filter_out"": 0.5926629900932312, ""high_value"": 6.098276571719907e-06, ""yield_farming"": 0.4073309302330017}","{""filter_out"": 0.8103796243667603, ""high_value"": 0.00012253332533873618, ""yield_farming"": 0.18949787318706512}","{""filter_out"": 0.515619695186615, ""high_value"": 3.236394547911914e-07, ""yield_farming"": 0.4843798875808716}","{""filter_out"": 0.515619695186615, ""high_value"": 3.236394547911914e-07, ""yield_farming"": 0.4843798875808716}",category_or_confidence,,2026-02-10 17:43:03,2026-02-11 1:43:21,0.5156196952,"mc,pc"
0,,9789,1471866389168918649,2026-02-13T13:51:33.133000+00:00,$DGB DigiDollar integration guides are live Wallet providers & exchanges that already support DigiByte can now follow step by step guides to add DigiDollar support. Testnet is active start testing integration today Posted,https://x.com/DigiByteCoin/status/2022307599870525852,high_value,high_value,filter_out,filter_out,0.9868842363,0.9646522403,0.5192735791,0.5192735791,f4a64bb59767f2f6a5eb7c37bb011ab1d3020558352f72987b954c620bfead40,DigiByte,discord,Posted,,,"{""filter_out"": 0.013071796856820583, ""high_value"": 0.9868842363357544, ""yield_farming"": 4.39700270362664e-05}","{""filter_out"": 0.03533165901899338, ""high_value"": 0.9646522402763367, ""yield_farming"": 1.611171683180146e-05}","{""filter_out"": 0.519273579120636, ""high_value"": 0.4806864559650421, ""yield_farming"": 3.996445957454853e-05}","{""filter_out"": 0.519273579120636, ""high_value"": 0.4806864559650421, ""yield_farming"": 3.996445957454853e-05}",category_or_confidence,0.6,2026-02-13 5:51:48,2026-02-13 13:51:47,0.5192735791,pc
