keep,Explanation,id,message_id,timestamp,text,social_media_url,social_media_secondary_url,mc_predicted_category,oc_predicted_category,pc_predicted_category,predicted_category,mc_confidence,oc_confidence,pc_confidence,confidence,text_hash,author,source,social_media_tag,social_media_user,mc_probabilities,oc_probabilities,pc_probabilities,probabilities,oracle_score,oracle_result,summary,distributed_at,telegram_message_id,processed_at,created_at,agreement_pattern,majority_category,dissenting_model
B,Limited time rewards available for users who do an action that doesn't necessarily cost them anything monetarily (e.g. depositing stablecoins or cash or tokens they already own onto the exchange).,648,1473350551797239992,2026-02-17T16:09:05.078000+00:00,Attention $MIM holders krakenfx is currently offering a 3% deposit match on net cash and crypto deposits. Depositing $MIM during the offer period qualifies for the 3% match. A straightforward way to earn a little extra on your Magic Internet Money. Full details below. Reposted mimcoinbtc,https://x.com/krakenfx/status/2023791803602796560,https://x.com/mimcoinbtc/status/2023789688851677365,filter_out,filter_out,yield_farming,yield_farming,0.5848222971,0.5286505818,0.9053125381,0.9053125381,8182bde66301c34a1478972f8458dfc02ca82fe66fb9301dd45b5c144182b5bd,Kraken,discord,Reposted,@mimcoinbtc,"{""filter_out"": 0.5848222970962524, ""high_value"": 0.0005582328885793686, ""yield_farming"": 0.41461944580078125}","{""filter_out"": 0.5286505818367004, ""high_value"": 2.6114601496374235e-05, ""yield_farming"": 0.4713233709335327}","{""filter_out"": 0.09468713402748108, ""high_value"": 3.340557555020496e-07, ""yield_farming"": 0.9053125381469727}","{""filter_out"": 0.09468713402748108, ""high_value"": 3.340557555020496e-07, ""yield_farming"": 0.9053125381469727}",,,Krakenfx offers a 3% deposit match on net cash and $MIM crypto deposits during offer period,2026-02-17 8:09:24,,2026-02-17 8:09:23,2026-02-17 16:09:23,mc+oc_agree_pc_disagrees,filter_out,pc
Y,"No yield farming opportunity present in this message, so definitely not a yield farming category post.",643,1473279530339668053,2026-02-17T11:26:52.243000+00:00,New to Crypto Streaming KuCoinLive Has Your Back. Start strong with our Stream to Earn program Get verified instantly with your first approved stream. Earn up to 50% commission a 20% new streamer bonus. VIP 0 eligible start from any level. Apply Now Turn your trading knowledge into a revenue stream. CryptoCreator LiveTrading Reposted KuCoinLive en,https://x.com/kucoincom/status/2023720759068360732,https://x.com/KuCoinLive_en/status/2021585013662232867,yield_farming,filter_out,yield_farming,yield_farming,0.6596620083,0.9340460896,0.9995906949,0.9995906949,3e1de529834cfb9c0b0877397a54a243ba0778835815fbc10b3a29f7f2f3722d,KuCoin,discord,Reposted,@KuCoinLive_en,"{""filter_out"": 0.34032905101776123, ""high_value"": 8.905189133656677e-06, ""yield_farming"": 0.6596620082855225}","{""filter_out"": 0.9340460896492004, ""high_value"": 1.0803873919940088e-05, ""yield_farming"": 0.0659431517124176}","{""filter_out"": 0.00040934892604127526, ""high_value"": 7.486728570427204e-09, ""yield_farming"": 0.9995906949043274}","{""filter_out"": 0.00040934892604127526, ""high_value"": 7.486728570427204e-09, ""yield_farming"": 0.9995906949043274}",,,"KuCoinLive starts Stream to Earn program: earn 50% commission, 20% new streamer bonus, instant verification.",2026-02-17 3:27:08,,2026-02-17 3:27:08,2026-02-17 11:27:08,mc+pc_agree_oc_disagrees,yield_farming,oc
0,"General advertisement for their staking product and not a time-sensitive, specific yield farming opportunity.",642,1473236099978756180,2026-02-17T08:34:17.638000+00:00,The smartest RWA choice is clear. BMRUSD vs. The Competition Yield 7.00% vs 4% Redemption T 0 No Fees Safety Principal Guaranteed Stop losing yield to low rates and hidden fees. Check it out Posted,https://x.com/BitMartExchange/status/2023677319701798984,,yield_farming,filter_out,yield_farming,yield_farming,0.942933917,0.841283977,0.9994514585,0.9994514585,d7f571b8fe45ddf3eb2b1450bdd912e9fa858fd58fb7833c899661a70ac8f756,BitMart,discord,Posted,,"{""filter_out"": 0.057065922766923904, ""high_value"": 1.1767706098453345e-07, ""yield_farming"": 0.9429339170455933}","{""filter_out"": 0.8412839770317078, ""high_value"": 0.00012237737246323377, ""yield_farming"": 0.15859368443489075}","{""filter_out"": 0.0005484305438585579, ""high_value"": 7.975560833983764e-08, ""yield_farming"": 0.9994514584541321}","{""filter_out"": 0.0005484305438585579, ""high_value"": 7.975560833983764e-08, ""yield_farming"": 0.9994514584541321}",,,"BMRUSD yields 7%, vs 4% competition, with T+0 redemption, no fees, and guaranteed principal safety.",2026-02-17 0:34:35,,2026-02-17 0:34:35,2026-02-17 8:34:34,mc+pc_agree_oc_disagrees,yield_farming,oc
Y,Not a time sensitive farming opportunity; instead it's an alert about a standard staking rate on this platform's yield product. ,639,1473129985379143871,2026-02-17T01:32:37.946000+00:00,Get onchain rewards without the technical hassle Bitrue Earn delivers $FLR at 10% APY matching the net yield of many onchain staking providers Keep your assets where you trade and watch your $FLR grow Join Now Reposted BitrueOfficial,https://x.com/FlareNetworks/status/2023571226711433695,https://x.com/BitrueOfficial/status/2023245958226596035,yield_farming,filter_out,yield_farming,yield_farming,0.9933280945,0.9908131957,0.9938266873,0.9938266873,1e38773d40d21773b67363625af8880e70faf24cef3848269c05763ad4600739,Flare ☀,discord,Reposted,@BitrueOfficial,"{""filter_out"": 0.0066718850284814835, ""high_value"": 5.037492090131934e-10, ""yield_farming"": 0.9933280944824219}","{""filter_out"": 0.9908131957054138, ""high_value"": 3.814929261380939e-09, ""yield_farming"": 0.009186842478811741}","{""filter_out"": 0.006173252128064632, ""high_value"": 2.8692546116815265e-09, ""yield_farming"": 0.993826687335968}","{""filter_out"": 0.006173252128064632, ""high_value"": 2.8692546116815265e-09, ""yield_farming"": 0.993826687335968}",,,"Bitrue Earn offers 10% APY $FLR rewards, matching many onchain staking provider yields",2026-02-16 17:32:58,,2026-02-16 17:32:58,2026-02-17 1:32:58,mc+pc_agree_oc_disagrees,yield_farming,oc
B,Limited rewards that have just gone live for users to farm (have just gone live).,638,1473108076273074257,2026-02-17T00:05:34.408000+00:00,"New sSUI, DEEP, WAL and HAEDAL rewards are live Earn 130,054 sSUI SUI, USDC, USDT, BTC, ETH, SOL, AUSD, suiUSDe 3.07M DEEP BTC DEEP XAUm deposits & borrows 557,534 WAL deposits 42,000 HAEDAL deposits New rewards in 2 weeks Posted",https://x.com/suilendprotocol/status/2023549280787853760,,yield_farming,filter_out,yield_farming,yield_farming,0.6338726878,0.969470799,0.9997450709,0.9997450709,8274bcbda2f238ba8c9d0541856dbb2d3302167790e000def7fbc71faa8a850e,Suilend,discord,Posted,,"{""filter_out"": 0.3657030761241913, ""high_value"": 0.00042418367229402065, ""yield_farming"": 0.6338726878166199}","{""filter_out"": 0.9694707989692688, ""high_value"": 0.0003277097421232611, ""yield_farming"": 0.030201444402337074}","{""filter_out"": 0.0002548282209318131, ""high_value"": 7.426586279279945e-08, ""yield_farming"": 0.9997450709342957}","{""filter_out"": 0.0002548282209318131, ""high_value"": 7.426586279279945e-08, ""yield_farming"": 0.9997450709342957}",,,"New sSUI, DEEP, WAL, HAEDAL rewards live with 130,054 sSUI and millions in DEEP, BTC, WAL, HAEDAL deposits",2026-02-16 16:05:53,,2026-02-16 16:05:52,2026-02-17 0:05:52,mc+pc_agree_oc_disagrees,yield_farming,oc
Y,"Tricky one, but this isn't a specific high yield opportunity. This is an announcement about getting some of this platform's fees by staking their own token on their platform. So as opposed to a farming opportunity, this is a product announcement, and there is no limited time, time-sensitive rewards for users to potentially farm.",635,1473082193025695946,2026-02-16T22:22:43.361000+00:00,"If you re keen to pick up a share of our $FXRP minting and redemption fees, you ll need to provide $FLR into our collateral pool. Pool collateral also earns FTSO rewards. Here s a quick guide using BifrostWallet Reposted aucc official",https://x.com/FlareNetworks/status/2023523437072056572,https://x.com/aucc_official/status/2023312314741739569,yield_farming,filter_out,yield_farming,yield_farming,0.8841754198,0.989456594,0.9307538271,0.9307538271,1e70079fc240d506923366abeddf38457da62e19fec1ffc75724e989fbeb6cad,Flare ☀,discord,Reposted,@aucc_official,"{""filter_out"": 0.11581966280937195, ""high_value"": 4.942715804645559e-06, ""yield_farming"": 0.8841754198074341}","{""filter_out"": 0.9894565939903259, ""high_value"": 2.7497761038830504e-05, ""yield_farming"": 0.01051589846611023}","{""filter_out"": 0.06924606114625931, ""high_value"": 1.1481523642942193e-07, ""yield_farming"": 0.9307538270950317}","{""filter_out"": 0.06924606114625931, ""high_value"": 1.1481523642942193e-07, ""yield_farming"": 0.9307538270950317}",,,"Provide $FLR into collateral pool to earn a share of $FXRP minting, redemption fees, and FTSO rewards via BifrostWallet.",2026-02-16 14:23:00,,2026-02-16 14:23:00,2026-02-16 22:23:00,mc+pc_agree_oc_disagrees,yield_farming,oc
Y,"This is a product announcement and not a yield farming opportunity. There is nothing time sensitive here, and there is no high yield or additional rewards to earn by participating, especially within a time limited or first come, first serve manner.",633,1473034523888451827,2026-02-16T19:13:18.153000+00:00,"Total return Ethereum products are here. WisdomTreeFunds launched the first European ETP backed entirely by LidoFinance's stETH. 100% of assets staked and earning full Ethereum staking rewards. Most staking ETPs ETFs hold 30 50% in spot ETH to process redemptions. That's yield left on the table for end users. Liquid staking solves this. Spot, then partial staking, now full staking. Europe got there first. The US is next. Full breakdown below Reposted enteronchain",https://x.com/LidoFinance/status/2023475748083036400,https://x.com/enteronchain/status/2023458737948627363,yield_farming,filter_out,yield_farming,yield_farming,0.5688226819,0.883462131,0.9999998808,0.9999998808,3fe9949e9bdf037e4aa6032e5653a0b741bb0ac11cb43f636eddda9f51f409a0,Lido,discord,Reposted,@enteronchain,"{""filter_out"": 0.4311729371547699, ""high_value"": 4.439381427800981e-06, ""yield_farming"": 0.5688226819038391}","{""filter_out"": 0.883462131023407, ""high_value"": 3.608191036619246e-05, ""yield_farming"": 0.1165018081665039}","{""filter_out"": 7.659549083882666e-08, ""high_value"": 2.55489887024396e-08, ""yield_farming"": 0.9999998807907104}","{""filter_out"": 7.659549083882666e-08, ""high_value"": 2.55489887024396e-08, ""yield_farming"": 0.9999998807907104}",,,"WisdomTreeFunds launched Europe’s first Ethereum ETP fully backed by Lido stETH, earning 100% staking rewards.",2026-02-16 11:13:37,,2026-02-16 11:13:37,2026-02-16 19:13:36,mc+pc_agree_oc_disagrees,yield_farming,oc
0,"This is a product announcement and not a yield farming opportunity. There is nothing time sensitive here, and there is no high yield or additional rewards to earn by participating, especially within a time limited or first come, first serve manner.",632,1473029882245025802,2026-02-16T18:54:51.499000+00:00,"$30B of SOL is natively staked. The largest pool of capital on Solana, earning yield but locked out of DeFi. That changes today. Introducing Native Staking as Collateral, now live on Jupiter Lend Posted",https://x.com/JupiterExchange/status/2023471132939350071,,filter_out,high_value,yield_farming,yield_farming,0.9891602397,0.5582998395,0.9933918118,0.9933918118,94ae0e8d55f31c681b0884fdf5f68dfae4d8a69c3432dfcdb71f7413aa214542,Jupiter,discord,Posted,,"{""filter_out"": 0.9891602396965027, ""high_value"": 0.010161353275179863, ""yield_farming"": 0.0006783984135836363}","{""filter_out"": 0.3972964286804199, ""high_value"": 0.5582998394966125, ""yield_farming"": 0.0444038063287735}","{""filter_out"": 9.56456278800033e-06, ""high_value"": 0.006598526146262884, ""yield_farming"": 0.9933918118476868}","{""filter_out"": 9.56456278800033e-06, ""high_value"": 0.006598526146262884, ""yield_farming"": 0.9933918118476868}",,,$30 billion of SOL staked natively is now usable as collateral on Jupiter Lend platform,2026-02-16 10:55:11,,2026-02-16 10:55:11,2026-02-16 18:55:11,all_different,,
Y,"This is a product announcement of an updated staking mechanism for VeChain, but it doesn't include a limited time staking reward, or anything time sensitive or time limited for user to specifically farm. It's purely informational.",630,1473007527858934046,2026-02-16T17:26:01.798000+00:00,"Staking on VeChain got seriously upgraded with StarGate. Start staking from with as little as 10,000 $VET your staking position is an NFT you can trade. Unrivalled flexibility, generating $VTHO rewards straight from your VeWorld wallet. Here's how it works, step by step",https://x.com/vechainofficial/status/2023448781857911192,https://x.com/vechainofficial/status/2023443819912442279,filter_out,filter_out,yield_farming,yield_farming,0.6615239382,0.9999504089,0.9999814034,0.9999814034,8606071d67eb77db17ec85d6da5f7d0232435d61f1551e2298e003fdf9176da6,VeChain,discord,Quoted,@vechainofficial,"{""filter_out"": 0.6615239381790161, ""high_value"": 2.6018658445536857e-06, ""yield_farming"": 0.338473379611969}","{""filter_out"": 0.9999504089355469, ""high_value"": 6.328950519218779e-08, ""yield_farming"": 4.9579412007005885e-05}","{""filter_out"": 1.7204783944180235e-05, ""high_value"": 1.4852760159556055e-06, ""yield_farming"": 0.9999814033508301}","{""filter_out"": 1.7204783944180235e-05, ""high_value"": 1.4852760159556055e-06, ""yield_farming"": 0.9999814033508301}",,,"VeChain staking upgraded with StarGate; staking positions are NFTs with 10,000 $VET minimum, earning $VTHO rewards.",2026-02-16 9:26:28,,2026-02-16 9:26:27,2026-02-16 17:26:27,mc+oc_agree_pc_disagrees,filter_out,pc
Y,"This is a product announcement about specific tokens becoming available for the Euler platform, and is not a time sensitive, yield farming opportunity for users to take advantage of.",625,1472985988665053184,2026-02-16T16:00:26.454000+00:00,"Unlock liquidity for your Ondo tokenized stocks on Euler and supply PYUSD to earn incentives. SPYon, TSLAon and QQQon vaults are live to borrow PYUSD. Posted",https://x.com/eulerfinance/status/2023427185554653498,,filter_out,filter_out,yield_farming,yield_farming,0.6960567236,0.7970731854,0.9217169881,0.9217169881,58776d9c63645caf31489a1abd33dade4af79ddc9c9ddf969caf031330368fd7,Euler Labs,discord,Posted,,"{""filter_out"": 0.6960567235946655, ""high_value"": 0.00595004390925169, ""yield_farming"": 0.2979932427406311}","{""filter_out"": 0.7970731854438782, ""high_value"": 0.018354564905166626, ""yield_farming"": 0.1845722496509552}","{""filter_out"": 0.07792607694864273, ""high_value"": 0.0003569885448087007, ""yield_farming"": 0.9217169880867004}","{""filter_out"": 0.07792607694864273, ""high_value"": 0.0003569885448087007, ""yield_farming"": 0.9217169880867004}",,,"Ondo tokenized stocks unlock liquidity on Euler, supply PYUSD to earn incentives; SPYon, TSLAon, QQQon vaults live to borrow PYUSD.",2026-02-16 8:00:49,,2026-02-16 8:00:49,2026-02-16 16:00:48,mc+oc_agree_pc_disagrees,filter_out,pc
