keep,Explanation,id,message_id,timestamp,text,social_media_url,social_media_secondary_url,mc_predicted_category,oc_predicted_category,pc_predicted_category,predicted_category,mc_confidence,oc_confidence,pc_confidence,confidence,text_hash,author,source,social_media_tag,social_media_user,mc_probabilities,oc_probabilities,pc_probabilities,probabilities,oracle_score,oracle_result,summary,distributed_at,telegram_message_id,processed_at,created_at
X,,285,,2026-01-28T01:43:46.796000+00:00,Prime Vaults pre deposit is now live,https://x.com/berachain/status/2016326295261446186,https://x.com/PrimeVaultsHQ/status/2016322836407975988,yield_farming,yield_farming,yield_farming,yield_farming,0.9994645715,0.6080752015,0.5384246111,0.5384246111,72da64c100c554a6e1af9560ae92f4a3ff6ebb41604d9425985293f2431684d7,Berachain Foundation 🐻⛓,discord,Quoted,@PrimeVaultsHQ,"{""filter_out"": 0.0004582775291055441, ""high_value"": 7.718653068877757e-05, ""yield_farming"": 0.9994645714759827}","{""filter_out"": 0.3733460009098053, ""high_value"": 0.018578728660941124, ""yield_farming"": 0.6080752015113831}","{""filter_out"": 0.06765551120042801, ""high_value"": 0.3939198851585388, ""yield_farming"": 0.5384246110916138}","{""filter_out"": 0.06765551120042801, ""high_value"": 0.3939198851585388, ""yield_farming"": 0.5384246110916138}",,,,,,2026-02-10 17:42:27,2026-02-11 1:42:27
A,,130,,2026-01-25T06:00:15.719000+00:00,New on Poloniex Earn 5% APY on USDC Flexible Savings is now live Make your idle funds work for you earn every day. Posted,https://x.com/Poloniex/status/2015303624579289322,,yield_farming,yield_farming,yield_farming,yield_farming,0.9814534187,0.9814484715,0.56984514,0.56984514,08497255979d3b34122bef5578b4319e9152c8ead36745f56af1e08cc0f20f95,Poloniex Exchange,discord,Posted,,"{""filter_out"": 0.018546564504504204, ""high_value"": 4.558734723048019e-09, ""yield_farming"": 0.9814534187316895}","{""filter_out"": 0.018546471372246742, ""high_value"": 4.999234533897834e-06, ""yield_farming"": 0.9814484715461731}","{""filter_out"": 0.4301416873931885, ""high_value"": 1.3213577403803356e-05, ""yield_farming"": 0.5698451399803162}","{""filter_out"": 0.4301416873931885, ""high_value"": 1.3213577403803356e-05, ""yield_farming"": 0.5698451399803162}",,,,,,2026-02-10 17:40:28,2026-02-11 1:40:28
A,,59,,2026-01-22T20:40:37.077000+00:00,"COTI Earn Turn your $USDC, $BTC, $ETH & $COTI into rewards on CarbonDeFixyz Powered by Bancor",https://x.com/COTInetwork/status/2014438049598353526,https://x.com/Bancor/status/2014430869507743969,yield_farming,yield_farming,yield_farming,yield_farming,0.737151742,0.9390182495,0.6477620602,0.6477620602,c10f2aca7ee56244ad06c3bc8cb694eac8fab02feeb2a7a720e2287b14f35402,COTI Foundation,discord,Quoted,@Bancor,"{""filter_out"": 0.26283955574035645, ""high_value"": 8.730294212000445e-06, ""yield_farming"": 0.7371517419815063}","{""filter_out"": 0.06097475811839104, ""high_value"": 6.9593788794009015e-06, ""yield_farming"": 0.9390182495117188}","{""filter_out"": 0.3521821200847626, ""high_value"": 5.5807246098993346e-05, ""yield_farming"": 0.6477620601654053}","{""filter_out"": 0.3521821200847626, ""high_value"": 5.5807246098993346e-05, ""yield_farming"": 0.6477620601654053}",,,,,,2026-02-10 17:38:31,2026-02-11 1:38:32
0,,645,1473317882254458995,2026-02-17T13:59:16.052000+00:00,Happy Lunar New Year ether fi just dropped a massive Red Envelope for the community. Earn 8% Cashback when you spend $88 or more. We are boosting it to 8% to celebrate the Year of the Horse. Don't buy gifts with cash. Buy them with Yield. Claim your 8% cashback here Reposted BitmanTW,https://x.com/ether_fi/status/2023759115705860366,https://x.com/BitmanTW/status/2023757903182913791,yield_farming,yield_farming,yield_farming,yield_farming,0.9996358156,0.9997970462,0.8191411495,0.8191411495,9721e403c76a9bd8bfe693b61f3553d69a8b09b585e704f421bc9670ebe33bfb,ether.fi,discord,Reposted,@BitmanTW,"{""filter_out"": 0.0003641490766312927, ""high_value"": 4.4448988933964984e-10, ""yield_farming"": 0.9996358156204224}","{""filter_out"": 0.00020291864348109812, ""high_value"": 1.9333365131046776e-08, ""yield_farming"": 0.9997970461845398}","{""filter_out"": 0.1808587610721588, ""high_value"": 5.6210183174698614e-08, ""yield_farming"": 0.819141149520874}","{""filter_out"": 0.1808587610721588, ""high_value"": 5.6210183174698614e-08, ""yield_farming"": 0.819141149520874}",,,EtherFi celebrates Lunar New Year with 8% cashback on spending $88 or more.,2026-02-17 5:59:35,,2026-02-17 5:59:35,2026-02-17 13:59:34
A,,555,1471553403598671996,2026-02-12T17:07:51.558000+00:00,Your stables are losing money sitting idle. Put them to work hyUSD USDC pair is currently the highest yielding stable pair on kamino standing at 14.45% APY. Reposted hylo so,https://x.com/kamino/status/2021994613666697545,https://x.com/hylo_so/status/2021992601650614598,yield_farming,yield_farming,yield_farming,yield_farming,0.7250561118,0.6600899696,0.8262640834,0.8262640834,0ecccf52f1fde5d4d6333b2329e83f3739ca80dc2104b55882df0693143a14e0,Kamino,discord,Reposted,@hylo_so,"{""filter_out"": 0.2749372124671936, ""high_value"": 6.641997060796712e-06, ""yield_farming"": 0.7250561118125916}","{""filter_out"": 0.3368085026741028, ""high_value"": 0.0031016238499432802, ""yield_farming"": 0.6600899696350098}","{""filter_out"": 0.1621059775352478, ""high_value"": 0.011629920452833176, ""yield_farming"": 0.8262640833854675}","{""filter_out"": 0.1621059775352478, ""high_value"": 0.011629920452833176, ""yield_farming"": 0.8262640833854675}",,,hyUSD USDC pair is currently Kamino's highest yielding stable pair at 14.45% APY,2026-02-12 9:08:07,,2026-02-12 9:08:07,2026-02-12 17:08:07
X,"There is no limited time promotion being outlined in this post. Instead, it's an advertisement for staking on their (MEXC's) platform, and the highest pair is set at 300%. But this 300% isn't for a specific pool or asset, and clearly isn't specifically for a newly released pool or asset on the platform itself, and thus should not have been included in this category. We look for newly released opportunities that can be taken advantage of for a limited time - this is too broad of a post to count.",365,,2026-01-29T10:51:35.697000+00:00,High APR always catches the eye. Especially when there is USAT on MEXC Earn Up to 300% APR But what really matters to you when choosing an Earn product What do you care most about Posted,https://x.com/MEXC_Official/status/2016826462511518186,,yield_farming,yield_farming,yield_farming,yield_farming,0.9960545301,0.8640352488,0.8354827762,0.8354827762,2cc5b7bb583a83dafd11b941b67ab03255e268e6ff47b1764a29b85f2eb06bd0,MEXC,discord,Posted,,"{""filter_out"": 0.003945406526327133, ""high_value"": 9.794416833130981e-09, ""yield_farming"": 0.9960545301437378}","{""filter_out"": 0.13564634323120117, ""high_value"": 0.00031833964749239385, ""yield_farming"": 0.8640352487564087}","{""filter_out"": 0.16451631486415863, ""high_value"": 9.203649824485183e-07, ""yield_farming"": 0.8354827761650085}","{""filter_out"": 0.16451631486415863, ""high_value"": 9.203649824485183e-07, ""yield_farming"": 0.8354827761650085}",,,,,,2026-02-10 17:43:25,2026-02-11 1:43:26
X,"This was mistaken as a yield earning opportunity. While the content is indeed for a limited time promotion, there is no activity a regular user could take to take advantage of the opportunity, which here is exclusively for Binance VIPs (and at that, only those that were VIPs before, so this is NOT accessible for regular individuals). ",120,,2026-01-24T14:11:53.711000+00:00,Return as a Binance VIP and unlock Industry leading fee discounts Interest free borrowing Boosted Binance Earn APRs with a $1M subscription limit Over $1M in prize pools Join the VIP Homecoming Reposted BinanceVIP,https://x.com/binance/status/2015064985689555345,https://x.com/BinanceVIP/status/2014677604171972707,yield_farming,yield_farming,yield_farming,yield_farming,0.9664104581,0.7839192152,0.8774768114,0.8774768114,dd29b7dfd7b3e6e49314b0853c172ace45f608c036afcf33f42b0e2c124be2f2,Binance,discord,Reposted,@BinanceVIP,"{""filter_out"": 0.033589500933885574, ""high_value"": 5.46855325467277e-08, ""yield_farming"": 0.9664104580879211}","{""filter_out"": 0.21431158483028412, ""high_value"": 0.0017692504916340113, ""yield_farming"": 0.7839192152023315}","{""filter_out"": 0.1225232183933258, ""high_value"": 3.2058458998562855e-08, ""yield_farming"": 0.8774768114089966}","{""filter_out"": 0.1225232183933258, ""high_value"": 3.2058458998562855e-08, ""yield_farming"": 0.8774768114089966}",,,,,,2026-02-10 17:40:28,2026-02-11 1:40:28
1,,259,,2026-01-27T15:39:00.648000+00:00,% iBGT APR on single sided wgBERA staking. Straight from for those affected by tedism. Generate Awesome Yields Reposted SmileeFinance,https://x.com/InfraredFinance/status/2016174076805484974,https://x.com/SmileeFinance/status/2016163699803750776,yield_farming,yield_farming,yield_farming,yield_farming,0.9994642138,0.9999881983,0.8962509036,0.8962509036,a2f11e47a6b9370196cf240734604420ef244313d3102f5829d20bfcd1f69e1b,Infrared,discord,Reposted,@SmileeFinance,"{""filter_out"": 0.0005357805639505386, ""high_value"": 1.2494830725628958e-09, ""yield_farming"": 0.999464213848114}","{""filter_out"": 1.0370199561293703e-05, ""high_value"": 1.4823426681687124e-06, ""yield_farming"": 0.9999881982803345}","{""filter_out"": 0.10374857485294342, ""high_value"": 5.804078000437585e-07, ""yield_farming"": 0.8962509036064148}","{""filter_out"": 0.10374857485294342, ""high_value"": 5.804078000437585e-07, ""yield_farming"": 0.8962509036064148}",,,,,,2026-02-10 17:41:26,2026-02-11 1:41:28
1,,517,1471294823083278550,2026-02-12T00:00:21.159000+00:00,"Final Call Deposit USDT, Earn 50% in $STABLE Campaign ends Feb 13 UTC 0 . Net deposit 100 USDT Earn 50% rewards in $STABLE 2,000 slots only FCFS Last chance to lock it in Posted",https://x.com/BTSE_Official/status/2021736010476888398,,yield_farming,yield_farming,yield_farming,yield_farming,0.9991635084,0.9918605685,0.9004585743,0.9004585743,bf03f8876ceced9eefa0e57e36f730edd20aec89fe6ddabc8d2be975813ea54c,BTSE,discord,Posted,,"{""filter_out"": 0.0008364919340237975, ""high_value"": 6.245833628071296e-09, ""yield_farming"": 0.9991635084152222}","{""filter_out"": 0.008137837052345276, ""high_value"": 1.63444690315373e-06, ""yield_farming"": 0.991860568523407}","{""filter_out"": 0.09954094141721725, ""high_value"": 4.997196469957998e-07, ""yield_farming"": 0.900458574295044}","{""filter_out"": 0.09954094141721725, ""high_value"": 4.997196469957998e-07, ""yield_farming"": 0.900458574295044}",,,"Deposit 100 USDT to earn 50% rewards in $STABLE, campaign ends Feb 13 UTC, 2,000 slots first come first served",2026-02-11 16:00:39,,2026-02-11 16:00:39,2026-02-12 0:00:39
A,,205,,2026-01-26T21:59:52.597000+00:00,"If you re reading this, you already understand what this is about. Season 1 now evolves even further as the Phase 2 Hold & Earn activation just went live Step 1 Buy & Secure Your $VIGI Accumulate $50 to $1000 worth of $VIGI from BingX or Ourbit. Step 2 Hold and Earn Store your $VIGI on a self custody decentralized wallet and maintain an uninterrupted 30 day hold post purchase. Step 3 Register Your Credentials Fill out this form Step 4 Claim Your Rewards Once your hold period is successfully validated, you will receive a guaranteed airdrop up to 22% , delivered directly to your registered wallet. A priority reward track is reserved for the first 1,000 Vigilantes to complete all steps, unlocking extended incentives structured for early alignment Join now, see you on the other side Reposted SOV thegame",https://x.com/Immutable/status/2015907560424157424,https://x.com/SOV_thegame/status/2013654092724232479,yield_farming,yield_farming,yield_farming,yield_farming,0.9740417004,0.9939023256,0.9149009585,0.9149009585,2d6cb33679aae6524b50c39949f705b21483cf23f6cdfc814505150e1e071cb1,Immutable,discord,Reposted,@SOV_thegame,"{""filter_out"": 0.02595733106136322, ""high_value"": 9.769785265234532e-07, ""yield_farming"": 0.9740417003631592}","{""filter_out"": 0.006097561679780483, ""high_value"": 7.687259540034574e-08, ""yield_farming"": 0.993902325630188}","{""filter_out"": 0.08509904891252518, ""high_value"": 2.7710916228329552e-08, ""yield_farming"": 0.9149009585380554}","{""filter_out"": 0.08509904891252518, ""high_value"": 2.7710916228329552e-08, ""yield_farming"": 0.9149009585380554}",,,,,,2026-02-10 17:41:26,2026-02-11 1:41:28
